Sex,Job,Age,Salary,Experience,Education,Direction,Awards,smoker,year_of_employment,company
Female,Warehouse Associate,19,78021,2,Masters,Administration,6970,0,2021,Deloitte
Male,Software Engineer,58,154039,5,Masters,Engineering,7304,0,2019,Accenture
Female,Driver,42,106788,4,Masters,Management,8974,0,2019,Google
Male,IT,33,88749,3,College,Management,7433,0,2019,Accenture
Male,Data Scientist,19,58054,2,High School,Operations,9585,1,2019,Amazon
Male,Manager,59,124782,1,PhD,Administration,4618,0,2019,EY
Female,Driver,61,107064,2,PhD,Engineering,4202,0,2019,Accenture
Female,Marketing Associate,23,59251,4,Masters,Engineering,8596,1,2022,Capgemini
Female,Graphic Designer,65,130251,4,High School,Operations,7750,1,2022,BCG
Male,Graphic Designer,18,75506,4,High School,Sales,9289,0,2019,McKinsey
Male,Software Engineer,36,130826,5,Masters,Engineering,9694,0,2022,PwC
Female,Warehouse Associate,30,86220,5,Masters,Administration,9583,0,2019,Deloitte
Female,Marketing Associate,38,71772,5,High School,Management,5764,0,2021,Microsoft
Male,IT,35,98423,4,College,Management,3879,0,2021,Microsoft
Female,IT,62,111120,3,College,Management,6536,0,2022,EY
Female,Data Scientist,36,76523,3,High School,Operations,7122,0,2022,Microsoft
Male,Financial Analyst,55,84683,1,College,Operations,4476,1,2019,Bain
Female,Marketing Associate,44,68364,2,PhD,Management,4076,0,2023,McKinsey
Male,Software Engineer,26,68466,2,PhD,Operations,8384,0,2021,PwC
Female,Driver,51,97789,2,PhD,Management,3536,0,2019,Google
Female,Software Engineer,28,112491,5,College,Engineering,8727,0,2022,PwC
Female,Marketing Associate,58,109931,5,Masters,Operations,5878,0,2019,Bain
Female,Data Scientist,45,129226,5,Masters,Sales,6912,0,2019,BCG
Male,Manager,60,111896,2,High School,Management,5597,0,2019,BCG
Female,Graphic Designer,26,71182,2,College,Engineering,10015,1,2019,Google
Female,Graphic Designer,37,104082,3,Masters,Management,5477,0,2023,EY
Male,IT,58,131275,5,College,Management,6997,0,2023,Deloitte
Female,IT,59,110627,3,College,Sales,2041,0,2019,IBM
Female,Graphic Designer,55,111502,3,College,Administration,4413,0,2019,Bain
Female,Marketing Associate,64,95687,2,PhD,Sales,7279,0,2020,Bain
Male,IT,36,109832,4,High School,Sales,3528,0,2022,PwC
Female,IT,18,45747,1,Masters,Sales,4890,0,2022,Deloitte
Female,IT,44,132267,5,PhD,Operations,5679,0,2020,BCG
Male,Warehouse Associate,61,106233,3,High School,Management,5792,1,2023,Capgemini
Male,Financial Analyst,45,85947,2,High School,Administration,3909,0,2019,PwC
Male,Sales Associate,28,118653,5,Masters,Administration,7036,1,2019,Google
Male,Software Engineer,25,81057,4,High School,Administration,5259,0,2023,Capgemini
Female,Warehouse Associate,41,88994,3,Masters,Engineering,8873,0,2022,Microsoft
Male,Driver,25,43076,1,College,Engineering,5829,0,2022,PwC
Female,Warehouse Associate,22,114733,5,PhD,Operations,6290,0,2019,PwC
Male,Financial Analyst,31,79142,1,PhD,Engineering,5445,1,2023,Capgemini
Female,Graphic Designer,63,106204,4,College,Operations,4534,0,2023,Google
Male,Driver,64,112719,2,Masters,Operations,3382,0,2020,EY
Female,Manager,47,106916,3,High School,Management,3959,1,2020,Bain
Female,Sales Associate,60,130417,5,PhD,Engineering,4694,0,2020,Bain
Male,Warehouse Associate,24,85205,3,PhD,Sales,9792,1,2020,BCG
Female,IT,47,99472,3,PhD,Operations,3943,0,2023,McKinsey
Male,Graphic Designer,65,116751,5,Masters,Operations,8505,0,2021,PwC
Male,Graphic Designer,33,83758,3,Masters,Management,8498,0,2023,BCG
Male,Sales Associate,64,120579,3,High School,Management,4687,1,2019,IBM
Male,Data Scientist,62,123333,3,PhD,Administration,3353,0,2022,EY
Female,Driver,28,64008,1,High School,Management,7185,0,2022,Accenture
Male,Software Engineer,49,142105,5,Masters,Administration,9653,0,2021,IBM
Male,Financial Analyst,29,89559,4,High School,Management,8338,0,2019,Microsoft
Female,Driver,39,75901,2,PhD,Operations,7402,0,2022,BCG
Female,Marketing Associate,46,86241,3,College,Management,5814,0,2019,IBM
Female,Sales Associate,31,52633,1,College,Management,9516,0,2020,BCG
Female,Marketing Associate,62,123242,5,PhD,Operations,5453,0,2019,Accenture
Male,Data Scientist,56,98165,3,Masters,Engineering,5470,0,2020,Accenture
Female,Manager,32,98519,1,PhD,Operations,8943,0,2020,Deloitte
Female,Marketing Associate,28,73685,5,Masters,Engineering,4439,0,2021,IBM
Female,Data Scientist,56,125828,5,College,Engineering,3961,1,2021,PwC
Male,Manager,41,123153,5,College,Administration,4111,0,2021,McKinsey
Male,Data Scientist,28,97625,5,Masters,Administration,7985,1,2019,EY
Male,Graphic Designer,46,88571,4,High School,Administration,7464,1,2022,BCG
Male,Warehouse Associate,37,83025,3,High School,Management,8105,0,2021,Accenture
Male,Financial Analyst,65,97376,1,High School,Administration,2225,0,2021,McKinsey
Male,Data Scientist,29,96355,5,PhD,Administration,9784,0,2021,Capgemini
Male,Driver,57,135781,4,College,Sales,6042,0,2022,Microsoft
Male,Manager,19,119162,5,PhD,Sales,9395,1,2020,Accenture
Female,Data Scientist,29,59458,1,College,Operations,7939,0,2019,IBM
Male,Graphic Designer,46,102736,4,High School,Engineering,9736,0,2020,Capgemini
Male,Manager,23,110594,3,College,Sales,6753,0,2022,Accenture
Female,Financial Analyst,29,88047,4,Masters,Administration,8459,0,2021,BCG
Female,Financial Analyst,18,66935,2,High School,Operations,6508,0,2021,EY
Male,Manager,47,155826,4,Masters,Engineering,4964,0,2020,Google
Male,Manager,43,152625,4,PhD,Management,4702,0,2021,Microsoft
Male,Manager,27,83262,1,High School,Operations,6884,0,2020,IBM
Female,Marketing Associate,54,112507,5,PhD,Engineering,7460,0,2019,BCG
Female,Graphic Designer,44,72248,2,Masters,Administration,3634,0,2020,BCG
Female,IT,33,84638,4,College,Management,9409,0,2022,Deloitte
Male,Marketing Associate,47,86516,3,Masters,Operations,8049,0,2023,IBM
Female,IT,47,103416,3,PhD,Administration,5536,0,2023,Google
Female,Graphic Designer,37,89411,4,College,Engineering,9522,0,2023,IBM
Female,Marketing Associate,59,98796,3,High School,Operations,3042,0,2021,McKinsey
Female,Marketing Associate,65,80789,1,Masters,Administration,1884,0,2021,Amazon
Female,Data Scientist,22,74523,3,High School,Engineering,9972,0,2020,Google
Male,Warehouse Associate,25,68384,1,College,Administration,7443,0,2021,EY
Female,Financial Analyst,19,84007,3,College,Sales,8990,0,2020,Accenture
Male,Data Scientist,18,59212,4,PhD,Administration,10209,0,2023,Deloitte
Female,IT,57,64807,1,High School,Administration,3887,0,2022,Microsoft
Female,Sales Associate,57,117202,4,High School,Management,5068,0,2019,Amazon
Female,Financial Analyst,20,62377,3,High School,Operations,6999,0,2019,EY
Male,Driver,32,69367,2,Masters,Engineering,6378,0,2019,McKinsey
Male,IT,28,95964,5,High School,Administration,9147,0,2020,BCG
Male,Graphic Designer,31,69462,1,PhD,Engineering,8872,0,2023,Amazon
Female,Manager,32,115383,2,PhD,Management,5878,0,2020,Accenture
Male,Sales Associate,33,100463,5,Masters,Operations,6332,0,2019,Google
Female,Marketing Associate,34,49632,1,College,Administration,7169,0,2022,EY
Male,IT,31,93358,2,Masters,Sales,3223,1,2022,Amazon
Male,Financial Analyst,20,65164,2,High School,Operations,7827,1,2020,IBM
Female,IT,26,111770,5,PhD,Sales,5345,0,2020,PwC
Female,Driver,18,42722,2,Masters,Administration,8515,0,2019,PwC
Female,Marketing Associate,29,89822,5,Masters,Administration,8818,0,2019,Amazon
Female,Data Scientist,53,133495,5,Masters,Engineering,8552,0,2022,PwC
Male,Software Engineer,19,88814,3,PhD,Administration,10153,1,2023,BCG
Female,Sales Associate,61,131608,4,PhD,Management,6537,0,2021,Deloitte
Male,Manager,46,107859,1,Masters,Sales,6989,0,2020,Bain
Female,Financial Analyst,63,97797,1,Masters,Operations,5239,0,2021,EY
Female,Data Scientist,27,96584,5,High School,Administration,5293,0,2019,PwC
Female,Warehouse Associate,53,127085,5,College,Engineering,9687,0,2023,Capgemini
Male,Software Engineer,32,71278,1,College,Operations,4701,0,2019,Google
Male,Financial Analyst,64,141186,5,PhD,Operations,3415,0,2021,EY
Male,Manager,29,146615,5,PhD,Engineering,10173,0,2023,Capgemini
Male,Software Engineer,24,79208,1,Masters,Management,8602,0,2023,Microsoft
Female,Marketing Associate,50,93805,5,Masters,Sales,6044,0,2022,Google
Male,Sales Associate,18,90780,5,Masters,Operations,9353,0,2020,Microsoft
Female,Financial Analyst,42,113640,5,College,Engineering,8762,0,2019,Amazon
Female,IT,42,83499,2,College,Operations,8950,0,2022,IBM
Male,Financial Analyst,35,90307,4,College,Administration,7663,0,2019,McKinsey
Male,Data Scientist,29,65907,3,High School,Engineering,7668,1,2023,Bain
Male,IT,65,165229,5,Masters,Sales,6506,0,2023,McKinsey
Female,Data Scientist,29,73306,4,High School,Management,7765,0,2019,Deloitte
Male,Sales Associate,46,95505,2,College,Management,4549,1,2022,Bain
Male,Sales Associate,58,135013,5,High School,Engineering,8972,0,2020,BCG
Female,Graphic Designer,39,120294,5,PhD,Operations,8090,0,2023,Capgemini
Male,Manager,48,157169,4,PhD,Engineering,5798,0,2022,Google
Female,Marketing Associate,20,38613,2,College,Administration,6079,0,2020,Amazon
Male,Software Engineer,49,82277,1,Masters,Administration,5460,0,2020,IBM
Male,Software Engineer,52,139841,5,Masters,Administration,7641,0,2021,McKinsey
Female,Data Scientist,58,108296,2,PhD,Engineering,4708,0,2022,Deloitte
Male,IT,19,78113,3,College,Engineering,9335,0,2019,Capgemini
Male,Software Engineer,18,55555,1,High School,Sales,4390,0,2019,Accenture
Female,Marketing Associate,53,112489,4,Masters,Management,4237,0,2023,Amazon
Male,Financial Analyst,65,111403,1,Masters,Sales,5078,0,2022,Bain
Female,Warehouse Associate,51,87684,3,High School,Management,8645,0,2020,BCG
Female,Graphic Designer,48,113465,5,High School,Operations,3846,0,2023,BCG
Female,Marketing Associate,38,53839,1,PhD,Engineering,3270,0,2022,BCG
Female,Driver,61,129132,4,PhD,Sales,8472,0,2022,IBM
Male,Software Engineer,47,126239,4,Masters,Operations,5396,0,2021,BCG
Male,Manager,30,125164,4,PhD,Engineering,5888,0,2022,PwC
Female,Sales Associate,47,116642,4,PhD,Engineering,4621,0,2021,Capgemini
Male,IT,18,69855,4,Masters,Administration,8347,0,2019,IBM
Female,Warehouse Associate,42,90005,1,Masters,Engineering,6631,0,2020,PwC
Female,Data Scientist,48,100115,1,Masters,Management,7679,0,2019,Microsoft
Male,Software Engineer,64,109606,1,Masters,Sales,2193,0,2021,IBM
Male,Graphic Designer,26,99464,5,Masters,Engineering,9319,1,2020,Bain
Female,Sales Associate,57,98321,3,Masters,Operations,8980,0,2020,EY
Male,Financial Analyst,27,99134,4,PhD,Administration,6255,0,2021,PwC
Male,Graphic Designer,44,102108,4,High School,Sales,8339,0,2022,BCG
Male,Manager,55,163208,5,High School,Management,4095,1,2023,PwC
Male,Manager,21,114621,2,College,Management,3927,0,2021,Google
Female,Marketing Associate,52,94763,3,High School,Sales,5668,0,2021,IBM
Female,Marketing Associate,34,38855,2,College,Engineering,4503,0,2019,BCG
Male,Driver,34,90330,5,College,Administration,7022,0,2019,IBM
Male,Driver,54,118093,2,PhD,Sales,4115,1,2022,Amazon
Male,Warehouse Associate,18,85306,5,College,Administration,7735,0,2022,McKinsey
Male,IT,31,49449,1,College,Operations,4149,0,2021,BCG
Female,Driver,55,103242,3,High School,Engineering,4495,0,2020,Bain
Male,Financial Analyst,41,98531,3,Masters,Engineering,6855,0,2023,PwC
Male,Data Scientist,41,104314,4,Masters,Administration,6611,1,2022,IBM
Male,Software Engineer,64,157277,5,PhD,Sales,4844,0,2023,Capgemini
Male,Software Engineer,53,106146,3,High School,Management,6618,0,2022,Bain
Female,Sales Associate,32,87585,2,PhD,Administration,6476,0,2022,McKinsey
Male,Warehouse Associate,21,48755,1,PhD,Management,9931,0,2023,Amazon
Male,Data Scientist,44,83674,1,High School,Sales,4854,0,2020,Google
Female,Marketing Associate,40,100415,4,Masters,Engineering,3871,0,2019,PwC
Female,Sales Associate,53,129609,5,Masters,Operations,7392,0,2023,IBM
Female,IT,45,113283,4,PhD,Sales,5404,0,2021,Accenture
Male,Marketing Associate,42,110636,5,Masters,Management,5239,0,2019,Capgemini
Male,Manager,60,131980,1,College,Sales,3841,1,2020,Amazon
Female,Data Scientist,58,121457,4,PhD,Management,4723,0,2019,Capgemini
Male,Software Engineer,64,118231,2,High School,Sales,7440,0,2021,BCG
Male,Data Scientist,20,61589,2,High School,Operations,3990,0,2021,Deloitte
Female,Graphic Designer,22,56954,2,College,Operations,7550,0,2023,BCG
Male,Warehouse Associate,34,45915,1,Masters,Operations,4765,0,2020,McKinsey
Male,Warehouse Associate,33,77655,1,College,Administration,6581,1,2023,Capgemini
Female,Data Scientist,30,92067,5,College,Engineering,9838,0,2022,BCG
Female,Marketing Associate,61,62644,1,High School,Administration,3270,0,2023,Capgemini
Male,Financial Analyst,38,114421,5,College,Management,7444,0,2019,EY
Male,Software Engineer,18,89474,4,Masters,Operations,9104,1,2023,Amazon
Female,Marketing Associate,55,72030,2,High School,Administration,5569,0,2020,McKinsey
Female,IT,30,80981,2,Masters,Engineering,8201,0,2020,EY
Male,Financial Analyst,58,126269,4,College,Operations,6490,0,2023,EY
Male,Warehouse Associate,28,59044,2,High School,Engineering,9368,0,2019,IBM
Male,Manager,56,149771,4,Masters,Engineering,5495,0,2020,Microsoft
Female,Driver,47,78002,2,Masters,Operations,5175,0,2022,Accenture
Female,Marketing Associate,50,70374,1,High School,Operations,7466,1,2023,Amazon
Female,Warehouse Associate,34,56172,1,High School,Sales,7739,0,2021,PwC
Male,Manager,40,124891,2,College,Administration,5436,0,2021,Bain
